CO2 (g/s) [estimated maf],CO2 (g/s) [maf],estimated_maf,intake_pressure,intake_temperature,latitude,longitude,maf,rpm,speed
0.809920830252757,0.6396588486140725,3.7985286938854297,26.0,54.0,-5.793477,-35.198093,3.0,1568.0,43.0
1.7969419146771408,2.1321961620469083,8.42765757983579,57.0,53.0,-5.793538,-35.198116,10.0,1582.0,43.0
2.1999954241838706,2.1321961620469083,10.317978539422352,69.0,53.0,-5.7936,-35.198139,10.0,1600.0,43.0
1.2267614616392206,0.6396588486140725,5.753511255087944,38.0,54.0,-5.793665,-35.19817,3.0,1625.0,44.0
0.7562015915115027,0.4264392324093817,3.546585464188948,24.0,54.0,-5.793739,-35.198196,2.0,1586.0,45.0
0.7802600227672936,0.6396588486140725,3.659419506778607,25.0,54.0,-5.7938,-35.198219,3.0,1571.0,43.0
0.7423744501786946,0.6396588486140725,3.4817361713380777,24.0,54.0,-5.79386,-35.198238,3.0,1557.0,43.0
0.788226522299558,0.6396588486140725,3.696782389584927,26.0,54.0,-5.793921,-35.198265,3.0,1526.0,42.0
0.7861603977325867,0.6396588486140725,3.687092265365832,26.0,54.0,-5.793989,-35.198288,3.0,1522.0,41.0
0.9274912647463748,0.6396588486140725,4.349934031660498,31.0,54.0,-5.794049,-35.198307,3.0,1506.0,41.0
0.701787022387133,0.4264392324093817,3.2913811349956537,25.0,54.0,-5.794117,-35.198334,2.0,1413.0,42.0
0.7325802250679555,0.6396588486140725,3.435801255568711,25.0,54.0,-5.794173,-35.198353,3.0,1475.0,40.0
0.7572346537949883,0.6396588486140725,3.551430526298495,26.0,54.0,-5.79423,-35.198376,3.0,1466.0,40.0
0.992256323287976,0.8528784648187634,4.653682156220607,34.0,54.0,-5.794287,-35.198391,4.0,1469.0,40.0
2.27412570478137,2.55863539445629,10.665649555424626,72.0,53.0,-5.794344,-35.198414,12.0,1585.0,40.0
2.6542426677914013,2.771855010660981,12.448398111941671,85.0,53.0,-5.794414,-35.198441,13.0,1567.0,42.0
2.970770994944812,3.4115138592750536,13.932915966291167,93.0,53.0,-5.794476,-35.19846,16.0,1603.0,43.0
2.9879285679540724,3.1982942430703627,14.0133849837046,90.0,53.0,-5.794551,-35.198483,15.0,1666.0,45.0
3.0793957690138902,3.4115138592750536,14.442366156675146,90.0,53.0,-5.794618,-35.198505,16.0,1717.0,46.0
3.18070715249714,3.624733475479744,14.917516545211589,91.0,53.0,-5.794698,-35.198532,17.0,1754.0,49.0
3.1302432402932023,3.4115138592750536,14.680840796975115,87.0,52.0,-5.794768,-35.198551,16.0,1800.0,50.0
2.1795767747226744,1.7057569296375268,10.222215073449345,58.0,52.0,-5.794841,-35.198578,8.0,1880.0,51.0
1.2736851805330964,1.0660980810234542,5.973583496700222,40.0,52.0,-5.794914,-35.198601,5.0,1593.0,51.0
1.192430782245792,1.0660980810234542,5.592500368732764,41.0,52.0,-5.794987,-35.198627,5.0,1455.0,52.0
0.7937320447524253,0.6396588486140725,3.722603289888875,33.0,53.0,-5.795073,-35.198654,3.0,1207.0,52.0
0.8154330865724999,0.8528784648187634,3.8243811760250246,33.0,53.0,-5.795146,-35.198685,4.0,1240.0,52.0
0.908155719803728,0.8528784648187634,4.259250325879484,33.0,53.0,-5.795219,-35.198711,4.0,1381.0,51.0
0.8890851072951774,0.8528784648187634,4.169809153214382,33.0,53.0,-5.795304,-35.198746,4.0,1352.0,51.0
0.8621232068520543,0.8528784648187634,4.043357840136135,33.0,53.0,-5.795372,-35.198769,4.0,1311.0,50.0
0.9025334788360068,0.8528784648187634,4.232882015740872,34.0,52.0,-5.795454,-35.198799,4.0,1328.0,49.0
0.8726648515929353,0.8528784648187634,4.092798153970866,34.0,53.0,-5.795511,-35.198818,4.0,1288.0,49.0
0.8658895033662822,0.8528784648187634,4.061021770787863,34.0,53.0,-5.795589,-35.198849,4.0,1278.0,47.0
0.8536938765583063,0.6396588486140725,4.003824281058456,34.0,53.0,-5.795655,-35.198872,3.0,1260.0,47.0
0.8564837258281046,0.6396588486140725,4.016908674133811,35.0,53.0,-5.79572,-35.198895,3.0,1228.0,46.0
0.833467469352268,0.6396588486140725,3.908962431262137,35.0,53.0,-5.795793,-35.198925,3.0,1195.0,45.0
0.8357591312524595,0.6396588486140725,3.919710325574034,36.0,53.0,-5.795853,-35.198948,3.0,1165.0,43.0
0.7321560858690178,0.6396588486140725,3.4338120427256933,37.0,53.0,-5.795909,-35.198967,3.0,993.0,41.0
0.7803606957521773,0.6396588486140725,3.659891663077712,40.0,53.0,-5.795962,-35.19899,3.0,979.0,39.0
0.7771722965866933,0.6396588486140725,3.644938070991592,39.0,53.0,-5.796013,-35.199009,3.0,1000.0,37.0
0.7970997913709676,0.6396588486140725,3.738398021529838,40.0,53.0,-5.796073,-35.199028,3.0,1000.0,36.0
0.7795038134764535,0.6396588486140725,3.655872885204567,39.0,53.0,-5.796122,-35.199047,3.0,1003.0,35.0
0.7875345938745161,0.6396588486140725,3.693537245271481,40.0,53.0,-5.796173,-35.199062,3.0,988.0,32.0
0.7957845767152055,0.6396588486140725,3.7322296647943136,41.0,53.0,-5.79621,-35.199081,3.0,974.0,28.0
0.79072299304,0.6396588486140725,3.7084908373576,40.0,53.0,-5.796249,-35.199093,3.0,992.0,25.0
0.7779693963780645,0.6396588486140725,3.648676469013122,40.0,53.0,-5.796277,-35.199104,3.0,976.0,22.0
0.7723896978384677,0.6396588486140725,3.622507682862413,40.0,53.0,-5.796303,-35.199112,3.0,969.0,19.0
0.8126830922922701,0.6396588486140725,3.811483702850747,42.0,53.0,-5.796324,-35.19912,3.0,971.0,16.0
0.821112422586018,0.6396588486140725,3.851017261928424,41.0,53.0,-5.79634,-35.199127,3.0,1005.0,12.0
0.8729438365199154,0.6396588486140725,4.094106593278402,42.0,53.0,-5.796356,-35.199131,3.0,1043.0,9.0
0.6928789936492137,0.4264392324093817,3.249602480214812,38.0,53.0,-5.796367,-35.199135,2.0,915.0,7.0
0.6784714149201833,0.6396588486140725,3.18203093597566,39.0,53.0,-5.796375,-35.199135,3.0,873.0,5.0
0.7397484613818265,0.6396588486140725,3.4694202838807664,46.0,53.0,-5.796381,-35.199139,3.0,807.0,3.0
